Committee,Subcommittee,Full_Name,State
Committee on Agriculture,Livestock. Dairy. and Poultry Subcommittee,Jim Costa,CA
Committee on Agriculture,Livestock. Dairy. and Poultry Subcommittee,Jahana Hayes,CT
Committee on Agriculture,Livestock. Dairy. and Poultry Subcommittee,Donald G. Davis,NC
Committee on Agriculture,Livestock. Dairy. and Poultry Subcommittee,Adam Gray,CA
Committee on Agriculture,Livestock. Dairy. and Poultry Subcommittee,Josh Riley,NY
Committee on Agriculture,Nutrition and Foreign Agriculture Subcommittee,Brad Finstad,MN
Committee on Agriculture,Nutrition and Foreign Agriculture Subcommittee,Monica De La Cruz,TX
Committee on Agriculture,Nutrition and Foreign Agriculture Subcommittee,Frank D. Lucas,OK
Committee on Agriculture,Nutrition and Foreign Agriculture Subcommittee,Austin Scott,GA
Committee on Agriculture,Nutrition and Foreign Agriculture Subcommittee,Scott DesJarlais,TN
Committee on Agriculture,Nutrition and Foreign Agriculture Subcommittee,James R. Baird,IN
Committee on Agriculture,Nutrition and Foreign Agriculture Subcommittee,Tracey Mann,KS
Committee on Agriculture,Nutrition and Foreign Agriculture Subcommittee,Mary E. Miller,IL
Committee on Agriculture,Nutrition and Foreign Agriculture Subcommittee,Derrick Van Orden,WI
Committee on Agriculture,Nutrition and Foreign Agriculture Subcommittee,Tony Wied,WI
Committee on Agriculture,Nutrition and Foreign Agriculture Subcommittee,Mark Harris,NC
Committee on Agriculture,Nutrition and Foreign Agriculture Subcommittee,Jahana Hayes,CT
Committee on Agriculture,Nutrition and Foreign Agriculture Subcommittee,James P. McGovern,MA
Committee on Agriculture,Nutrition and Foreign Agriculture Subcommittee,Alma S. Adams,NC
Committee on Agriculture,Nutrition and Foreign Agriculture Subcommittee,Shontel M. Brown,OH
Committee on Agriculture,Nutrition and Foreign Agriculture Subcommittee,Andrea Salinas,OR
Committee on Agriculture,Nutrition and Foreign Agriculture Subcommittee,Jill N. Tokuda,HI
Committee on Agriculture,Nutrition and Foreign Agriculture Subcommittee,Jonathan L. Jackson,IL
Committee on Agriculture,Nutrition and Foreign Agriculture Subcommittee,Shomari Figures,AL
Committee on Appropriations,Agriculture. Rural Development. Food and Drug Administration. and Related Agencies Subcommittee,Andy Harris,MD
Committee on Appropriations,Agriculture. Rural Development. Food and Drug Administration. and Related Agencies Subcommittee,Robert B. Aderholt,AL
Committee on Appropriations,Agriculture. Rural Development. Food and Drug Administration. and Related Agencies Subcommittee,David G. Valadao,CA
Committee on Appropriations,Agriculture. Rural Development. Food and Drug Administration. and Related Agencies Subcommittee,John R. Moolenaar,MI
Committee on Appropriations,Agriculture. Rural Development. Food and Drug Administration. and Related Agencies Subcommittee,Dan Newhouse,WA
Committee on Appropriations,Agriculture. Rural Development. Food and Drug Administration. and Related Agencies Subcommittee,Julia Letlow,LA
Committee on Appropriations,Agriculture. Rural Development. Food and Drug Administration. and Related Agencies Subcommittee,Ben Cline,VA
Committee on Appropriations,Agriculture. Rural Development. Food and Drug Administration. and Related Agencies Subcommittee,Ashley Hinson,IA
Committee on Appropriations,Agriculture. Rural Development. Food and Drug Administration. and Related Agencies Subcommittee,Scott Franklin,FL
Committee on Appropriations,Agriculture. Rural Development. Food and Drug Administration. and Related Agencies Subcommittee,"Sanford D. Bishop, Jr.",GA
Committee on Appropriations,Agriculture. Rural Development. Food and Drug Administration. and Related Agencies Subcommittee,Chellie Pingree,ME
Committee on Appropriations,Agriculture. Rural Development. Food and Drug Administration. and Related Agencies Subcommittee,Lauren Underwood,IL
Committee on Appropriations,Agriculture. Rural Development. Food and Drug Administration. and Related Agencies Subcommittee,Marie Gluesenkamp Perez,WA
Committee on Appropriations,Agriculture. Rural Development. Food and Drug Administration. and Related Agencies Subcommittee,Marcy Kaptur,OH
Committee on Appropriations,Agriculture. Rural Development. Food and Drug Administration. and Related Agencies Subcommittee,Debbie Wasserman Schultz,FL
Committee on Appropriations,Commerce. Justice. Science. and Related Agencies Subcommittee,Harold Rogers,KY
Committee on Appropriations,Commerce. Justice. Science. and Related Agencies Subcommittee,John R. Carter,TX
Committee on Appropriations,Commerce. Justice. Science. and Related Agencies Subcommittee,Ben Cline,VA
Committee on Appropriations,Commerce. Justice. Science. and Related Agencies Subcommittee,Tony Gonzales,TX
Committee on Appropriations,Commerce. Justice. Science. and Related Agencies Subcommittee,Andrew S. Clyde,GA
Committee on Appropriations,Commerce. Justice. Science. and Related Agencies Subcommittee,Mark Alford,MO
Committee on Appropriations,Commerce. Justice. Science. and Related Agencies Subcommittee,Dale W. Strong,AL
Committee on Appropriations,Commerce. Justice. Science. and Related Agencies Subcommittee,Riley M. Moore,WV
Committee on Appropriations,Commerce. Justice. Science. and Related Agencies Subcommittee,Grace Meng,NY
Committee on Appropriations,Commerce. Justice. Science. and Related Agencies Subcommittee,Glenn Ivey,MD
Committee on Appropriations,Commerce. Justice. Science. and Related Agencies Subcommittee,Joseph D. Morelle,NY
Committee on Appropriations,Commerce. Justice. Science. and Related Agencies Subcommittee,Madeleine Dean,PA
Committee on Appropriations,Commerce. Justice. Science. and Related Agencies Subcommittee,Frank J. Mrvan,IN
Committee on Appropriations,Defense Subcommittee,Ken Calvert,CA
Committee on Appropriations,Defense Subcommittee,Harold Rogers,KY
Committee on Appropriations,Defense Subcommittee,Steve Womack,AR
Committee on Appropriations,Defense Subcommittee,Robert B. Aderholt,AL
Committee on Appropriations,Defense Subcommittee,John R. Carter,TX
Committee on Appropriations,Defense Subcommittee,Mario Diaz-Balart,FL
Committee on Appropriations,Defense Subcommittee,David P. Joyce,OH
Committee on Appropriations,Defense Subcommittee,Jake Ellzey,TX
Committee on Appropriations,Defense Subcommittee,"Charles J. ""Chuck"" Fleischmann",TN
Committee on Appropriations,Defense Subcommittee,David G. Valadao,CA
Committee on Appropriations,Defense Subcommittee,Betty McCollum,MN
Committee on Appropriations,Defense Subcommittee,Marcy Kaptur,OH
Committee on Appropriations,Defense Subcommittee,Henry Cuellar,TX
Committee on Appropriations,Defense Subcommittee,Pete Aguilar,CA
Committee on Appropriations,Defense Subcommittee,Ed Case,HI
Committee on Appropriations,Defense Subcommittee,Susie Lee,NV
Committee on Appropriations,Defense Subcommittee,Joseph D. Morelle,NY
Committee on Appropriations,Energy and Water Development and Related Agencies Subcommittee,"Charles J. ""Chuck"" Fleischmann",TN
Committee on Appropriations,Energy and Water Development and Related Agencies Subcommittee,Michael K. Simpson,ID
Committee on Appropriations,Energy and Water Development and Related Agencies Subcommittee,Ken Calvert,CA
Committee on Appropriations,Energy and Water Development and Related Agencies Subcommittee,Dan Newhouse,WA
Committee on Appropriations,Energy and Water Development and Related Agencies Subcommittee,Guy Reschenthaler,PA
Committee on Appropriations,Energy and Water Development and Related Agencies Subcommittee,Michael Guest,MS
Committee on Appropriations,Energy and Water Development and Related Agencies Subcommittee,Michael Cloud,TX
Committee on Appropriations,Energy and Water Development and Related Agencies Subcommittee,Scott Franklin,FL
Committee on Appropriations,Energy and Water Development and Related Agencies Subcommittee,Celeste Maloy,UT
Committee on Appropriations,Energy and Water Development and Related Agencies Subcommittee,Marcy Kaptur,OH
Committee on Appropriations,Energy and Water Development and Related Agencies Subcommittee,James E. Clyburn,SC
Committee on Appropriations,Energy and Water Development and Related Agencies Subcommittee,Debbie Wasserman Schultz,FL
Committee on Appropriations,Energy and Water Development and Related Agencies Subcommittee,Mike Levin,CA
Committee on Appropriations,Energy and Water Development and Related Agencies Subcommittee,Frank J. Mrvan,IN
Committee on Appropriations,Energy and Water Development and Related Agencies Subcommittee,Susie Lee,NV
Committee on Appropriations,Financial Services and General Government Subcommittee,David P. Joyce,OH
Committee on Appropriations,Financial Services and General Government Subcommittee,Steve Womack,AR
Committee on Appropriations,Financial Services and General Government Subcommittee,Mark E. Amodei,NV
Committee on Appropriations,Financial Services and General Government Subcommittee,Ashley Hinson,IA
Committee on Appropriations,Financial Services and General Government Subcommittee,Michael Cloud,TX
Committee on Appropriations,Financial Services and General Government Subcommittee,Chuck Edwards,NC
Committee on Appropriations,Financial Services and General Government Subcommittee,Mark Alford,MO
Committee on Appropriations,Financial Services and General Government Subcommittee,Nick LaLota,NY
Committee on Appropriations,Financial Services and General Government Subcommittee,Steny H. Hoyer,MD
Committee on Appropriations,Financial Services and General Government Subcommittee,Mark Pocan,WI
Committee on Appropriations,Financial Services and General Government Subcommittee,Marie Gluesenkamp Perez,WA
Committee on Appropriations,Financial Services and General Government Subcommittee,Glenn Ivey,MD
Committee on Appropriations,Financial Services and General Government Subcommittee,"Sanford D. Bishop, Jr.",GA
Committee on Appropriations,Homeland Security Subcommittee,Mark E. Amodei,NV
Committee on Appropriations,Homeland Security Subcommittee,John H. Rutherford,FL
Committee on Appropriations,Homeland Security Subcommittee,Dan Newhouse,WA
Committee on Appropriations,Homeland Security Subcommittee,Ashley Hinson,IA
Committee on Appropriations,Homeland Security Subcommittee,Michael Guest,MS
Committee on Appropriations,Homeland Security Subcommittee,Tony Gonzales,TX
Committee on Appropriations,Homeland Security Subcommittee,Juan Ciscomani,AZ
Committee on Appropriations,Homeland Security Subcommittee,Lauren Underwood,IL
Committee on Appropriations,Homeland Security Subcommittee,Henry Cuellar,TX
Committee on Appropriations,Homeland Security Subcommittee,Ed Case,HI
Committee on Appropriations,Homeland Security Subcommittee,Veronica Escobar,TX
Committee on Appropriations,Interior. Environment. and Related Agencies Subcommittee,Michael K. Simpson,ID
Committee on Appropriations,Interior. Environment. and Related Agencies Subcommittee,Mark E. Amodei,NV
Committee on Appropriations,Interior. Environment. and Related Agencies Subcommittee,Guy Reschenthaler,PA
Committee on Appropriations,Interior. Environment. and Related Agencies Subcommittee,Michael Cloud,TX
Committee on Appropriations,Interior. Environment. and Related Agencies Subcommittee,Ryan K. Zinke,MT
Committee on Appropriations,Interior. Environment. and Related Agencies Subcommittee,Jake Ellzey,TX
Committee on Appropriations,Interior. Environment. and Related Agencies Subcommittee,Celeste Maloy,UT
Committee on Appropriations,Interior. Environment. and Related Agencies Subcommittee,Chellie Pingree,ME
Committee on Appropriations,Interior. Environment. and Related Agencies Subcommittee,Betty McCollum,MN
Committee on Appropriations,Interior. Environment. and Related Agencies Subcommittee,Josh Harder,CA
Committee on Appropriations,Interior. Environment. and Related Agencies Subcommittee,James E. Clyburn,SC
Committee on Appropriations,Labor. Health and Human Services. Education. and Related Agencies Subcommittee,Robert B. Aderholt,AL
Committee on Appropriations,Labor. Health and Human Services. Education. and Related Agencies Subcommittee,Michael K. Simpson,ID
Committee on Appropriations,Labor. Health and Human Services. Education. and Related Agencies Subcommittee,Andy Harris,MD
Committee on Appropriations,Labor. Health and Human Services. Education. and Related Agencies Subcommittee,"Charles J. ""Chuck"" Fleischmann",TN
Committee on Appropriations,Labor. Health and Human Services. Education. and Related Agencies Subcommittee,John R. Moolenaar,MI
Committee on Appropriations,Labor. Health and Human Services. Education. and Related Agencies Subcommittee,Julia Letlow,LA
Committee on Appropriations,Labor. Health and Human Services. Education. and Related Agencies Subcommittee,Andrew S. Clyde,GA
Committee on Appropriations,Labor. Health and Human Services. Education. and Related Agencies Subcommittee,Jake Ellzey,TX
Committee on Appropriations,Labor. Health and Human Services. Education. and Related Agencies Subcommittee,Stephanie I. Bice,OK
Committee on Appropriations,Labor. Health and Human Services. Education. and Related Agencies Subcommittee,Riley M. Moore,WV
Committee on Appropriations,Labor. Health and Human Services. Education. and Related Agencies Subcommittee,Rosa L. DeLauro,CT
Committee on Appropriations,Labor. Health and Human Services. Education. and Related Agencies Subcommittee,Steny H. Hoyer,MD
Committee on Appropriations,Labor. Health and Human Services. Education. and Related Agencies Subcommittee,Mark Pocan,WI
Committee on Appropriations,Labor. Health and Human Services. Education. and Related Agencies Subcommittee,Lois Frankel,FL
Committee on Appropriations,Labor. Health and Human Services. Education. and Related Agencies Subcommittee,Bonnie Watson Coleman,NJ
Committee on Appropriations,Labor. Health and Human Services. Education. and Related Agencies Subcommittee,Josh Harder,CA
Committee on Appropriations,Labor. Health and Human Services. Education. and Related Agencies Subcommittee,Madeleine Dean,PA
Committee on Appropriations,Legislative Branch Subcommittee,David G. Valadao,CA
Committee on Appropriations,Legislative Branch Subcommittee,Nick LaLota,NY
Committee on Appropriations,Legislative Branch Subcommittee,Dale W. Strong,AL
Committee on Appropriations,Legislative Branch Subcommittee,Celeste Maloy,UT
Committee on Appropriations,Legislative Branch Subcommittee,Riley M. Moore,WV
Committee on Appropriations,Legislative Branch Subcommittee,Adriano Espaillat,NY
Committee on Appropriations,Legislative Branch Subcommittee,Steny H. Hoyer,MD
Committee on Appropriations,Legislative Branch Subcommittee,Mike Quigley,IL
Committee on Appropriations,Military Construction. Veterans Affairs. and Related Agencies Subcommittee,John R. Carter,TX
Committee on Appropriations,Military Construction. Veterans Affairs. and Related Agencies Subcommittee,John H. Rutherford,FL
Committee on Appropriations,Military Construction. Veterans Affairs. and Related Agencies Subcommittee,Michael Guest,MS
Committee on Appropriations,Military Construction. Veterans Affairs. and Related Agencies Subcommittee,Ryan K. Zinke,MT
Committee on Appropriations,Military Construction. Veterans Affairs. and Related Agencies Subcommittee,Stephanie I. Bice,OK
Committee on Appropriations,Military Construction. Veterans Affairs. and Related Agencies Subcommittee,Scott Franklin,FL
Committee on Appropriations,Military Construction. Veterans Affairs. and Related Agencies Subcommittee,Mark Alford,MO
Committee on Appropriations,Military Construction. Veterans Affairs. and Related Agencies Subcommittee,Nick LaLota,NY
Committee on Appropriations,Military Construction. Veterans Affairs. and Related Agencies Subcommittee,Debbie Wasserman Schultz,FL
Committee on Appropriations,Military Construction. Veterans Affairs. and Related Agencies Subcommittee,"Sanford D. Bishop, Jr.",GA
Committee on Appropriations,Military Construction. Veterans Affairs. and Related Agencies Subcommittee,Veronica Escobar,TX
Committee on Appropriations,Military Construction. Veterans Affairs. and Related Agencies Subcommittee,Mike Levin,CA
Committee on Appropriations,Military Construction. Veterans Affairs. and Related Agencies Subcommittee,Henry Cuellar,TX
Committee on Appropriations,National Security. Department of State. and Related Programs Subcommittee,Mario Diaz-Balart,FL
Committee on Appropriations,National Security. Department of State. and Related Programs Subcommittee,Guy Reschenthaler,PA
Committee on Appropriations,National Security. Department of State. and Related Programs Subcommittee,Julia Letlow,LA
Committee on Appropriations,National Security. Department of State. and Related Programs Subcommittee,Juan Ciscomani,AZ
Committee on Appropriations,National Security. Department of State. and Related Programs Subcommittee,Chuck Edwards,NC
Committee on Appropriations,National Security. Department of State. and Related Programs Subcommittee,John R. Moolenaar,MI
Committee on Appropriations,National Security. Department of State. and Related Programs Subcommittee,Mark Alford,MO
Committee on Appropriations,National Security. Department of State. and Related Programs Subcommittee,Lois Frankel,FL
Committee on Appropriations,National Security. Department of State. and Related Programs Subcommittee,Grace Meng,NY
Committee on Appropriations,National Security. Department of State. and Related Programs Subcommittee,Norma J. Torres,CA
Committee on Appropriations,National Security. Department of State. and Related Programs Subcommittee,Mike Quigley,IL
Committee on Appropriations,Transportation. Housing and Urban Development. and Related Agencies Subcommittee,Steve Womack,AR
Committee on Appropriations,Transportation. Housing and Urban Development. and Related Agencies Subcommittee,Harold Rogers,KY
Committee on Appropriations,Transportation. Housing and Urban Development. and Related Agencies Subcommittee,John H. Rutherford,FL
Committee on Appropriations,Transportation. Housing and Urban Development. and Related Agencies Subcommittee,Tony Gonzales,TX
Committee on Appropriations,Transportation. Housing and Urban Development. and Related Agencies Subcommittee,Ryan K. Zinke,MT
Committee on Appropriations,Transportation. Housing and Urban Development. and Related Agencies Subcommittee,Juan Ciscomani,AZ
Committee on Appropriations,Transportation. Housing and Urban Development. and Related Agencies Subcommittee,David P. Joyce,OH
Committee on Appropriations,Transportation. Housing and Urban Development. and Related Agencies Subcommittee,Stephanie I. Bice,OK
Committee on Appropriations,Transportation. Housing and Urban Development. and Related Agencies Subcommittee,Dale W. Strong,AL
Committee on Appropriations,Transportation. Housing and Urban Development. and Related Agencies Subcommittee,James E. Clyburn,SC
Committee on Appropriations,Transportation. Housing and Urban Development. and Related Agencies Subcommittee,Mike Quigley,IL
Committee on Appropriations,Transportation. Housing and Urban Development. and Related Agencies Subcommittee,Bonnie Watson Coleman,NJ
Committee on Appropriations,Transportation. Housing and Urban Development. and Related Agencies Subcommittee,Norma J. Torres,CA
Committee on Appropriations,Transportation. Housing and Urban Development. and Related Agencies Subcommittee,Pete Aguilar,CA
Committee on Appropriations,Transportation. Housing and Urban Development. and Related Agencies Subcommittee,Adriano Espaillat,NY
Committee on Armed Services,Cyber. Information Technologies. and  Innovation Subcommittee,Don Bacon,NE
Committee on Armed Services,Cyber. Information Technologies. and  Innovation Subcommittee,Elise M. Stefanik,NY
Committee on Armed Services,Cyber. Information Technologies. and  Innovation Subcommittee,Pat Fallon,TX
Committee on Armed Services,Cyber. Information Technologies. and  Innovation Subcommittee,Brad Finstad,MN
Committee on Armed Services,Cyber. Information Technologies. and  Innovation Subcommittee,Morgan Luttrell,TX
Committee on Armed Services,Cyber. Information Technologies. and  Innovation Subcommittee,Jennifer A. Kiggans,VA
Committee on Armed Services,Cyber. Information Technologies. and  Innovation Subcommittee,Richard McCormick,GA
Committee on Armed Services,Cyber. Information Technologies. and  Innovation Subcommittee,Lance Gooden,TX
Committee on Armed Services,Cyber. Information Technologies. and  Innovation Subcommittee,John J. McGuire III,VA
Committee on Armed Services,Cyber. Information Technologies. and  Innovation Subcommittee,Jeff Crank,CO
Committee on Armed Services,Cyber. Information Technologies. and  Innovation Subcommittee,Ro Khanna,CA
Committee on Armed Services,Cyber. Information Technologies. and  Innovation Subcommittee,Seth Moulton,MA
Committee on Armed Services,Cyber. Information Technologies. and  Innovation Subcommittee,William R. Keating,MA
Committee on Armed Services,Cyber. Information Technologies. and  Innovation Subcommittee,Chrissy Houlahan,PA
Committee on Armed Services,Cyber. Information Technologies. and  Innovation Subcommittee,Jason Crow,CO
Committee on Armed Services,Cyber. Information Technologies. and  Innovation Subcommittee,Mikie Sherrill,NJ
Committee on Armed Services,Cyber. Information Technologies. and  Innovation Subcommittee,Patrick Ryan,NY
Committee on Armed Services,Cyber. Information Technologies. and  Innovation Subcommittee,George Whitesides,CA
Committee on Armed Services,Cyber. Information Technologies. and  Innovation Subcommittee,Eugene Simon Vindman,VA
Committee on Armed Services,Intelligence and Special Operations Subcommittee,Ronny Jackson,TX
Committee on Armed Services,Intelligence and Special Operations Subcommittee,Austin Scott,GA
Committee on Armed Services,Intelligence and Special Operations Subcommittee,Trent Kelly,MS
Committee on Armed Services,Intelligence and Special Operations Subcommittee,Nancy Mace,SC
Committee on Armed Services,Intelligence and Special Operations Subcommittee,Morgan Luttrell,TX
Committee on Armed Services,Intelligence and Special Operations Subcommittee,Cory Mills,FL
Committee on Armed Services,Intelligence and Special Operations Subcommittee,Derrick Van Orden,WI
Committee on Armed Services,Intelligence and Special Operations Subcommittee,Pat Harrigan,NC
Committee on Armed Services,Intelligence and Special Operations Subcommittee,Abraham J. Hamadeh,AZ
Committee on Armed Services,Intelligence and Special Operations Subcommittee,Jason Crow,CO
Committee on Armed Services,Intelligence and Special Operations Subcommittee,William R. Keating,MA
Committee on Armed Services,Intelligence and Special Operations Subcommittee,Jared F. Golden,ME
Committee on Armed Services,Intelligence and Special Operations Subcommittee,Sara Jacobs,CA
Committee on Armed Services,Intelligence and Special Operations Subcommittee,Patrick Ryan,NY
Committee on Armed Services,Intelligence and Special Operations Subcommittee,"Gilbert Ray Cisneros, Jr.",CA
Committee on Armed Services,Intelligence and Special Operations Subcommittee,Derek Tran,CA
Committee on Armed Services,Military Personnel Subcommittee,Pat Fallon,TX
Committee on Armed Services,Military Personnel Subcommittee,Elise M. Stefanik,NY
Committee on Armed Services,Military Personnel Subcommittee,Nancy Mace,SC
Committee on Armed Services,Military Personnel Subcommittee,Jennifer A. Kiggans,VA
Committee on Armed Services,Military Personnel Subcommittee,Cory Mills,FL
Committee on Armed Services,Military Personnel Subcommittee,Pat Harrigan,NC
Committee on Armed Services,Military Personnel Subcommittee,Derek Schmidt,KS
Committee on Armed Services,Military Personnel Subcommittee,Jeff Crank,CO
Committee on Armed Services,Military Personnel Subcommittee,Chrissy Houlahan,PA
Committee on Armed Services,Military Personnel Subcommittee,Sara Jacobs,CA
Committee on Armed Services,Military Personnel Subcommittee,Marilyn Strickland,WA
Committee on Armed Services,Military Personnel Subcommittee,Jill N. Tokuda,HI
Committee on Armed Services,Military Personnel Subcommittee,"Gilbert Ray Cisneros, Jr.",CA
Committee on Armed Services,Military Personnel Subcommittee,Maggie Goodlander,NH
Committee on Armed Services,Readiness Subcommittee,Jack Bergman,MI
Committee on Armed Services,Readiness Subcommittee,Joe Wilson,SC
Committee on Armed Services,Readiness Subcommittee,Austin Scott,GA
Committee on Armed Services,Readiness Subcommittee,Carlos A. Gimenez,FL
Committee on Armed Services,Readiness Subcommittee,James C. Moylan,GU
Committee on Armed Services,Readiness Subcommittee,Cory Mills,FL
Committee on Armed Services,Readiness Subcommittee,Clay Higgins,LA
Committee on Armed Services,Readiness Subcommittee,Pat Harrigan,NC
Committee on Armed Services,Readiness Subcommittee,Mark B. Messmer,IN
Committee on Armed Services,Readiness Subcommittee,Derek Schmidt,KS
Committee on Armed Services,Readiness Subcommittee,John Garamendi,CA
Committee on Armed Services,Readiness Subcommittee,Marilyn Strickland,WA
Committee on Armed Services,Readiness Subcommittee,Gabe Vasquez,NM
Committee on Armed Services,Readiness Subcommittee,Christopher R. Deluzio,PA
Committee on Armed Services,Readiness Subcommittee,Jill N. Tokuda,HI
Committee on Armed Services,Readiness Subcommittee,Donald G. Davis,NC
Committee on Armed Services,Readiness Subcommittee,Eric Sorensen,IL
Committee on Armed Services,Readiness Subcommittee,Sarah Elfreth,MD
Committee on Armed Services,Readiness Subcommittee,Derek Tran,CA
Committee on Armed Services,Seapower and Projection Forces Subcommittee,Trent Kelly,MS
Committee on Armed Services,Seapower and Projection Forces Subcommittee,Robert J. Wittman,VA
Committee on Armed Services,Seapower and Projection Forces Subcommittee,Scott DesJarlais,TN
Committee on Armed Services,Seapower and Projection Forces Subcommittee,Jack Bergman,MI
Committee on Armed Services,Seapower and Projection Forces Subcommittee,Ronny Jackson,TX
Committee on Armed Services,Seapower and Projection Forces Subcommittee,Nancy Mace,SC
Committee on Armed Services,Seapower and Projection Forces Subcommittee,Jennifer A. Kiggans,VA
Committee on Armed Services,Seapower and Projection Forces Subcommittee,James C. Moylan,GU
Committee on Armed Services,Seapower and Projection Forces Subcommittee,Lance Gooden,TX
Committee on Armed Services,Seapower and Projection Forces Subcommittee,Clay Higgins,LA
Committee on Armed Services,Seapower and Projection Forces Subcommittee,Joe Courtney,CT
Committee on Armed Services,Seapower and Projection Forces Subcommittee,Donald Norcross,NJ
Committee on Armed Services,Seapower and Projection Forces Subcommittee,Ro Khanna,CA
Committee on Armed Services,Seapower and Projection Forces Subcommittee,Jared F. Golden,ME
Committee on Armed Services,Seapower and Projection Forces Subcommittee,Christopher R. Deluzio,PA
Committee on Armed Services,Seapower and Projection Forces Subcommittee,Sarah Elfreth,MD
Committee on Armed Services,Seapower and Projection Forces Subcommittee,George Whitesides,CA
Committee on Armed Services,Seapower and Projection Forces Subcommittee,Eugene Simon Vindman,VA
Committee on Armed Services,Strategic Forces Subcommittee,Scott DesJarlais,TN
Committee on Armed Services,Strategic Forces Subcommittee,Joe Wilson,SC
Committee on Armed Services,Strategic Forces Subcommittee,Michael R. Turner,OH
Committee on Armed Services,Strategic Forces Subcommittee,Don Bacon,NE
Committee on Armed Services,Strategic Forces Subcommittee,Derrick Van Orden,WI
Committee on Armed Services,Strategic Forces Subcommittee,Mark B. Messmer,IN
Committee on Armed Services,Strategic Forces Subcommittee,Jeff Crank,CO
Committee on Armed Services,Strategic Forces Subcommittee,Abraham J. Hamadeh,AZ
Committee on Armed Services,Strategic Forces Subcommittee,Seth Moulton,MA
Committee on Armed Services,Strategic Forces Subcommittee,John Garamendi,CA
Committee on Armed Services,Strategic Forces Subcommittee,Salud O. Carbajal,CA
Committee on Armed Services,Strategic Forces Subcommittee,Gabe Vasquez,NM
Committee on Armed Services,Strategic Forces Subcommittee,George Whitesides,CA
Committee on Armed Services,Strategic Forces Subcommittee,Wesley Bell,MO
Committee on Armed Services,Tactical Air and Land Forces Subcommittee,Robert J. Wittman,VA
Committee on Armed Services,Tactical Air and Land Forces Subcommittee,Michael R. Turner,OH
Committee on Armed Services,Tactical Air and Land Forces Subcommittee,Sam Graves,MO
Committee on Armed Services,Tactical Air and Land Forces Subcommittee,Carlos A. Gimenez,FL
Committee on Armed Services,Tactical Air and Land Forces Subcommittee,Brad Finstad,MN
Committee on Armed Services,Tactical Air and Land Forces Subcommittee,Richard McCormick,GA
Committee on Armed Services,Tactical Air and Land Forces Subcommittee,Lance Gooden,TX
Committee on Armed Services,Tactical Air and Land Forces Subcommittee,John J. McGuire III,VA
Committee on Armed Services,Tactical Air and Land Forces Subcommittee,Derek Schmidt,KS
Committee on Armed Services,Tactical Air and Land Forces Subcommittee,Abraham J. Hamadeh,AZ
Committee on Armed Services,Tactical Air and Land Forces Subcommittee,Donald Norcross,NJ
Committee on Armed Services,Tactical Air and Land Forces Subcommittee,Joe Courtney,CT
Committee on Armed Services,Tactical Air and Land Forces Subcommittee,Salud O. Carbajal,CA
Committee on Armed Services,Tactical Air and Land Forces Subcommittee,Mikie Sherrill,NJ
Committee on Armed Services,Tactical Air and Land Forces Subcommittee,Donald G. Davis,NC
Committee on Armed Services,Tactical Air and Land Forces Subcommittee,Eric Sorensen,IL
Committee on Armed Services,Tactical Air and Land Forces Subcommittee,Maggie Goodlander,NH
Committee on Armed Services,Tactical Air and Land Forces Subcommittee,Wesley Bell,MO
Committee on Education and Workforce,Early Childhood. Elementary. and Secondary Education Subcommittee,Kevin Kiley,CA
Committee on Education and Workforce,Early Childhood. Elementary. and Secondary Education Subcommittee,Mary E. Miller,IL
Committee on Education and Workforce,Early Childhood. Elementary. and Secondary Education Subcommittee,Glenn Thompson,PA
Committee on Education and Workforce,Early Childhood. Elementary. and Secondary Education Subcommittee,Burgess Owens,UT
Committee on Education and Workforce,Early Childhood. Elementary. and Secondary Education Subcommittee,Michael A. Rulli,OH
Committee on Education and Workforce,Early Childhood. Elementary. and Secondary Education Subcommittee,James C. Moylan,GU
Committee on Education and Workforce,Early Childhood. Elementary. and Secondary Education Subcommittee,Ryan Mackenzie,PA
Committee on Education and Workforce,Early Childhood. Elementary. and Secondary Education Subcommittee,Mark Harris,NC
Committee on Education and Workforce,Early Childhood. Elementary. and Secondary Education Subcommittee,Mark B. Messmer,IN
Committee on Education and Workforce,Early Childhood. Elementary. and Secondary Education Subcommittee,Suzanne Bonamici,OR
Committee on Education and Workforce,Early Childhood. Elementary. and Secondary Education Subcommittee,Jahana Hayes,CT
Committee on Education and Workforce,Early Childhood. Elementary. and Secondary Education Subcommittee,Summer L. Lee,PA
Committee on Education and Workforce,Early Childhood. Elementary. and Secondary Education Subcommittee,John W. Mannion,NY
Committee on Education and Workforce,Early Childhood. Elementary. and Secondary Education Subcommittee,Frederica S. Wilson,FL
Committee on Education and Workforce,Early Childhood. Elementary. and Secondary Education Subcommittee,Alma S. Adams,NC
Committee on Education and Workforce,Early Childhood. Elementary. and Secondary Education Subcommittee,N/A,N/A
Committee on Education and Workforce,Health. Employment. Labor. and Pensions Subcommittee,Rick W. Allen,GA
Committee on Education and Workforce,Health. Employment. Labor. and Pensions Subcommittee,"Robert F. Onder, Jr.",MO
Committee on Education and Workforce,Health. Employment. Labor. and Pensions Subcommittee,Joe Wilson,SC
Committee on Education and Workforce,Health. Employment. Labor. and Pensions Subcommittee,Virginia Foxx,NC
Committee on Education and Workforce,Health. Employment. Labor. and Pensions Subcommittee,James Comer,KY
